Optimal_Cost,Week_1,Week_2,Week_3,Week_4
322020.9756319348,0.0,0.0,0.0,20641.2
322654.3306229963,203.0,53.0,75.0,19946.0
322670.8968622002,406.0,106.0,150.0,19250.0
323083.56262132904,609.0,159.0,225.0,18554.0
321533.47978818166,812.0,212.0,300.0,17858.0
318220.30368733814,1015.0,265.0,375.0,17162.0
317796.67986826063,1218.0,318.0,450.0,16466.0
317711.8428803059,1421.0,371.0,525.0,15770.0
317714.4123533575,1624.0,424.0,600.0,15074.0
317900.3854909564,1827.0,477.0,675.0,14378.0
316221.848129617,2504.0,791.0,475.0,14228.0
319046.1222088504,3181.0,1105.0,275.0,14078.0
318325.3282014192,3858.0,1419.0,75.0,13928.0
318629.87729126314,4535.0,1733.0,184.0,13567.0
317067.6667768997,5212.0,2047.0,34.0,13676.0
317536.9766027503,5889.0,2361.0,143.0,13315.0
317536.9766027503,6566.0,2675.0,252.0,12954.0
318709.0507236379,6566.0,2675.0,252.0,12954.0
318094.03819959133,7243.0,2989.0,52.0,12804.0
316357.2829602796,7920.0,3303.0,161.0,12443.0
316357.2829602796,7643.0,3380.0,243.0,12073.0
316357.2829602796,7643.0,3380.0,243.0,12073.0
316357.2829602796,7643.0,3380.0,243.0,12073.0
317909.1532651286,7643.0,3380.0,243.0,12073.0
318779.45983725303,7366.0,3457.0,61.0,12155.0
317866.95559535397,7089.0,3534.0,143.0,11785.0
317866.95559535397,6812.0,3611.0,225.0,11415.0
318288.0808757084,6812.0,3611.0,225.0,11415.0
317670.1798355789,6535.0,3688.0,43.0,11497.0
316768.61600390595,6258.0,3765.0,125.0,11127.0
316768.61600390595,6350.0,3370.0,300.0,10696.0
317761.1347497365,6350.0,3370.0,300.0,10696.0
316266.93799038295,6442.0,2975.0,475.0,10265.0
316359.1187809544,6534.0,2580.0,650.0,9834.0
315477.1696658004,6626.0,2185.0,825.0,9403.0
315783.4547403352,6718.0,1790.0,1000.0,8972.0
314798.4612275335,6810.0,1395.0,1175.0,8541.0
314781.3388962366,6902.0,1000.0,1350.0,8110.0
315991.9483462062,6994.0,605.0,1525.0,7679.0
316164.4186562307,7086.0,210.0,1700.0,7248.0
314707.42403500027,7089.0,1292.0,1745.0,6858.0
313291.7035723705,7092.0,2374.0,1790.0,6468.0
313619.9176282747,7095.0,3456.0,1835.0,6078.0
313619.9176282747,7098.0,4538.0,1880.0,5688.0
314948.9017029889,7098.0,4538.0,1880.0,5688.0
315945.93882486253,7101.0,5620.0,1925.0,5298.0
315945.93882486253,7104.0,6702.0,1970.0,4908.0
317101.72984782414,7104.0,6702.0,1970.0,4908.0
317746.9404435208,7107.0,7784.0,2015.0,4518.0
317746.9404435208,7110.0,8866.0,2060.0,4128.0
317746.9404435208,6619.0,8650.0,1627.0,4672.0
319126.680625037,6619.0,8650.0,1627.0,4672.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,6131.0,9516.0,1239.0,4826.0
319126.680625037,7051.0,9259.0,1714.0,4619.0
319126.680625037,7051.0,9259.0,1714.0,4619.0
319286.0203349244,7051.0,9259.0,1714.0,4619.0
319286.0203349244,7483.0,9868.0,1801.0,4566.0
319857.2071063729,7483.0,9868.0,1801.0,4566.0
319857.2071063729,7915.0,10477.0,1888.0,4513.0
