Optimal_Cost,Week_1,Week_2,Week_3,Week_4
236945.6102072584,0.0,0.0,0.0,0.0
265797.7546138031,32391.0,1877.0,14448.0,19521.0
311583.3190441021,39178.0,48212.0,39632.0,45270.0
255366.85407376135,19403.0,21512.0,9452.0,6830.0
293308.72665312607,885.0,30319.0,22768.0,50984.0
262635.1995825211,10393.0,4779.0,11546.0,12425.0
291323.96263987175,47285.0,34369.0,16736.0,46552.0
292036.91892816976,16794.0,7157.0,44879.0,20351.0
319816.70516619063,25674.0,39274.0,49981.0,49502.0
262343.27757998987,1731.0,20874.0,25314.0,207.0
282991.5975660612,23407.0,9377.0,16551.0,49789.0
282664.98902724637,39070.0,32102.0,23927.0,25365.0
299911.1233496084,19314.0,29350.0,28380.0,43518.0
276083.8088610964,4029.0,18053.0,22494.0,18324.0
256342.01152414698,41713.0,47720.0,12166.0,3020.0
305091.3922106761,44374.0,4854.0,50594.0,35797.0
290659.5068412486,47617.0,28600.0,27176.0,37338.0
283463.12446733005,50562.0,41762.0,24309.0,26730.0
303138.3733325349,41488.0,23725.0,36132.0,51385.0
288165.8560252155,26825.0,39570.0,31763.0,15472.0
304506.78241206135,27074.0,49354.0,45430.0,34420.0
289941.4825377712,7049.0,6638.0,27258.0,46911.0
307457.3350767428,21047.0,36535.0,50871.0,13368.0
268963.0320918468,34260.0,1360.0,25987.0,9546.0
270716.4107910647,5927.0,49952.0,12132.0,18890.0
296397.6205815172,42604.0,31375.0,26774.0,48070.0
274420.0459436737,15142.0,18294.0,18129.0,17961.0
276068.73692898394,24632.0,18702.0,40118.0,2351.0
283117.04110274464,46067.0,31299.0,43232.0,3490.0
269941.3581994374,36800.0,31567.0,9413.0,24314.0
258845.61601056487,2140.0,9467.0,17351.0,6203.0
287519.1655416611,42808.0,33344.0,27933.0,28847.0
304119.2361081609,41373.0,43481.0,39210.0,38195.0
298196.9955579573,12946.0,16498.0,46993.0,21872.0
291552.64262643317,41953.0,10623.0,25452.0,44942.0
296658.2026076643,18975.0,20851.0,36175.0,37743.0
316837.93972386944,18601.0,16986.0,51324.0,48245.0
301021.61574808275,28011.0,40291.0,44881.0,18031.0
277984.66929500154,28878.0,6329.0,29767.0,24437.0
294821.3055255945,1982.0,39603.0,28021.0,38590.0
273387.12561486,47240.0,412.0,17266.0,29400.0
284611.6051303594,35537.0,35676.0,11579.0,49216.0
308223.17151385825,16922.0,35509.0,38489.0,41403.0
265800.684958383,23288.0,7885.0,10029.0,28775.0
277465.3625032301,46498.0,5777.0,34721.0,10397.0
294881.5550205291,47255.0,34919.0,38208.0,17093.0
265669.5226646059,49806.0,28487.0,359.0,33778.0
276314.90522792167,34650.0,33659.0,33845.0,5588.0
295952.94832876045,5147.0,39048.0,31930.0,38062.0
282568.1949084519,26506.0,8581.0,46983.0,5521.0
300277.410848293,40196.0,39538.0,42721.0,26805.0
270482.2677238537,33415.0,11367.0,12345.0,30233.0
285400.9889996246,1171.0,31562.0,16839.0,37137.0
279514.23828510556,19312.0,39073.0,20685.0,21221.0
274194.6432281255,6143.0,44119.0,13157.0,23436.0
306706.17930642434,26441.0,4665.0,43237.0,45219.0
264209.98796136794,26679.0,30932.0,4703.0,14228.0
301991.0585228603,7512.0,22305.0,47523.0,14885.0
245060.16696254993,2666.0,7715.0,7410.0,4447.0
260520.04825081726,9437.0,12072.0,7880.0,19120.0
268347.6689088992,48965.0,30025.0,12294.0,11041.0
260757.61969273412,33988.0,16882.0,2987.0,28071.0
275555.68842947634,7607.0,41394.0,18552.0,11034.0
311792.8789359145,35373.0,47905.0,49566.0,36948.0
310686.1268041963,21836.0,50422.0,40013.0,42767.0
305951.9764850938,32617.0,47501.0,46744.0,30384.0
282457.65116763033,15798.0,29924.0,24830.0,24777.0
273276.45582897484,9661.0,10476.0,25424.0,11686.0
283236.3520054362,24937.0,9701.0,13555.0,43501.0
297783.3195615014,40189.0,49960.0,38021.0,32207.0
281263.75170302566,39795.0,11813.0,32460.0,17743.0
285003.7651068368,24993.0,44683.0,30672.0,18638.0
306722.64153689076,44292.0,47302.0,49291.0,27768.0
274035.9354977814,39992.0,43798.0,13524.0,17888.0
273653.73212981946,41859.0,1911.0,24918.0,21932.0
264456.2990400309,41236.0,25578.0,23242.0,4015.0
281872.9401172658,21509.0,39297.0,22282.0,14617.0
274188.43914798356,10029.0,29385.0,9151.0,36255.0
278754.98710382765,17744.0,43818.0,2810.0,43181.0
302654.159581646,34688.0,22026.0,36856.0,48896.0
305755.3683136379,24288.0,24853.0,50298.0,15636.0
248945.76337012494,38948.0,39817.0,1915.0,4343.0
304996.04913820024,46704.0,41804.0,47912.0,24907.0
276168.60796100635,16512.0,48075.0,11663.0,31547.0
308184.8745788984,6889.0,24642.0,46774.0,37869.0
302597.6204635835,16414.0,18673.0,39984.0,38712.0
312124.16876922245,38483.0,48058.0,49413.0,37791.0
268750.68789688055,26681.0,24648.0,9502.0,26962.0
260821.5609347564,22468.0,2026.0,4377.0,36331.0
294541.86004573223,23615.0,12158.0,39882.0,29863.0
279547.6450633594,41065.0,15855.0,26670.0,15379.0
304867.27607564535,32074.0,38391.0,48841.0,13097.0
276685.3383326812,25119.0,49677.0,15434.0,26197.0
250781.86327095024,43091.0,17751.0,2255.0,8964.0
259309.29898391126,9670.0,787.0,4676.0,33037.0
263022.0892638897,19783.0,32663.0,21210.0,533.0
267242.6855784921,32411.0,2874.0,15036.0,17630.0
253351.76937489086,10045.0,13042.0,6129.0,9117.0
279245.1485794919,42964.0,4549.0,32849.0,20010.0
283524.7987781435,18938.0,11014.0,30982.0,30325.0
272631.08811053017,43351.0,40090.0,25778.0,6748.0
282654.5212635618,38686.0,44196.0,26763.0,19518.0
298672.05756631226,48215.0,8111.0,48978.0,16703.0
257923.58832533794,8041.0,35596.0,14121.0,255.0
256593.4689704496,8290.0,12035.0,16190.0,4121.0
296865.7740138188,30345.0,12794.0,46255.0,23920.0
267735.00758432224,18139.0,26026.0,9604.0,22188.0
241730.0291037384,37972.0,13354.0,4456.0,2750.0
268690.3287126253,21690.0,15806.0,8985.0,34828.0
255799.61965827135,26833.0,7596.0,1844.0,24298.0
256605.89082482117,26646.0,9948.0,1324.0,14716.0
315350.8817140608,19187.0,34851.0,44726.0,42404.0
287037.51298967376,35927.0,30631.0,13597.0,41318.0
280871.47178027534,25994.0,45024.0,22715.0,13999.0
293810.5693732202,8996.0,11649.0,31834.0,51150.0
260977.78840870186,11398.0,39061.0,14199.0,4168.0
