Optimal_Cost,Week_1,Week_2,Week_3,Week_4
312591.537534449,14426.0,2452.0,1023.0,8377.0
316363.36634170066,0.0,0.0,0.0,0.0
314597.59489862516,3949.0,4715.0,5016.0,4242.0
313389.39346088853,2752.0,2968.0,2663.0,4791.0
316576.67087226745,2223.0,3809.0,201.0,2807.0
316362.0311187869,1047.0,715.0,3809.0,2116.0
314483.4670417877,2668.0,2488.0,3540.0,5001.0
315015.83293223695,2649.0,865.0,3836.0,2239.0
316479.4196474522,2523.0,3691.0,2016.0,303.0
314783.0401764405,4817.0,1024.0,1399.0,4582.0
313092.56270800874,2708.0,2571.0,3789.0,4347.0
316030.76149231417,3856.0,4294.0,486.0,4868.0
316168.9159731548,1277.0,159.0,3782.0,4711.0
313294.7600043485,4735.0,452.0,1612.0,1103.0
316812.2875080884,1730.0,4994.0,1459.0,2530.0
314828.9394299169,548.0,4883.0,1840.0,1292.0
316288.786735948,4311.0,4562.0,2738.0,151.0
313691.1720811169,599.0,3482.0,756.0,3883.0
314549.0070072485,854.0,669.0,3174.0,1634.0
316636.18584581633,5131.0,4828.0,771.0,3415.0
316164.44058582425,1380.0,290.0,4008.0,4563.0
317298.65474427165,4521.0,4844.0,4056.0,720.0
313651.37174475385,2469.0,1886.0,3602.0,3340.0
318990.89233178005,739.0,535.0,2581.0,249.0
314524.88392959005,237.0,2151.0,162.0,1934.0
315264.7642732041,4339.0,3065.0,1204.0,1212.0
315128.4795394114,4764.0,4582.0,1167.0,4126.0
314098.1529090309,1606.0,2879.0,4179.0,1857.0
312894.5563415843,1853.0,1816.0,1198.0,1386.0
312776.6632490876,1056.0,2260.0,1447.0,590.0
313776.8678932189,4985.0,213.0,4672.0,3005.0
314769.6645648941,2099.0,1454.0,3835.0,1388.0
315590.0905711881,5100.0,204.0,4901.0,4280.0
313676.54283399857,807.0,3751.0,2098.0,381.0
314486.43082853814,249.0,1111.0,924.0,3459.0
312826.01262569084,88.0,634.0,2916.0,4607.0
314315.54606527195,5078.0,4235.0,3826.0,3742.0
315135.24090875254,1978.0,4544.0,3957.0,2187.0
314672.8907444675,4527.0,1986.0,893.0,564.0
314826.91219956946,1018.0,1673.0,3281.0,3801.0
316496.8176625342,61.0,4832.0,533.0,1281.0
315164.4024570033,2645.0,3992.0,988.0,2701.0
314698.89236955723,4860.0,3981.0,1785.0,4480.0
315339.69382763247,2043.0,5036.0,3056.0,2523.0
313830.46744184487,3421.0,1779.0,2598.0,4134.0
314946.6139381509,2461.0,186.0,2941.0,2087.0
315594.939319627,1714.0,1827.0,2645.0,2301.0
316526.42474334006,1551.0,3310.0,3972.0,835.0
314140.0906454725,3212.0,3505.0,2552.0,3595.0
316573.9339019446,288.0,3848.0,2276.0,4347.0
314766.0759003976,1720.0,1753.0,3191.0,3879.0
314331.92193708336,3145.0,4041.0,5149.0,1866.0
314538.1211492985,298.0,2140.0,4328.0,4060.0
313426.6568793699,1519.0,2193.0,4010.0,4751.0
315964.6855701408,642.0,1973.0,2294.0,4387.0
313722.79023967485,3896.0,3478.0,906.0,49.0
314814.13764175086,3995.0,1191.0,1524.0,4837.0
314471.1825870222,1485.0,3656.0,3699.0,2868.0
315570.16035736364,3996.0,1505.0,2603.0,1262.0
313461.53752778145,3800.0,2330.0,3186.0,1454.0
315971.10723595816,509.0,1546.0,3258.0,4721.0
317732.34174664563,250.0,692.0,2919.0,447.0
316962.53543510777,206.0,4540.0,2717.0,3817.0
316583.56095789594,3727.0,3880.0,3703.0,594.0
314763.28051576344,792.0,4854.0,1935.0,1330.0
315604.50277768256,2513.0,5125.0,4880.0,1815.0
316453.85367461795,4231.0,4098.0,2923.0,689.0
315058.2336867635,3918.0,384.0,2096.0,3433.0
314555.5259104244,3129.0,3914.0,2087.0,3903.0
312601.33563315065,1472.0,1106.0,4330.0,465.0
318446.2975476016,1467.0,5104.0,292.0,2837.0
