Optimal_Cost,Week_1,Week_2,Week_3,Week_4
228478.8849009583,0.0,0.0,0.0,0.0
232401.14326382292,2998.0,939.0,9594.0,6131.0
236388.1403522869,1383.0,7396.0,8891.0,345.0
230748.67500499726,6320.0,3309.0,8905.0,8563.0
228831.98528039784,9268.0,878.0,2849.0,10127.0
223735.9138085588,2320.0,1586.0,4098.0,9109.0
231337.35798714162,381.0,3142.0,2685.0,4091.0
231019.05818199596,3632.0,563.0,7753.0,6030.0
235484.71407776102,4562.0,9969.0,9703.0,6849.0
226560.457897526,1595.0,5584.0,5541.0,2922.0
223783.3484790433,4560.0,1475.0,2424.0,9751.0
229272.0466732673,7067.0,3760.0,3041.0,6662.0
229496.34792308082,3386.0,4208.0,6882.0,7062.0
230782.52534233205,6639.0,3268.0,8967.0,8754.0
236528.31300338914,1467.0,10211.0,5479.0,564.0
231438.55986608253,4436.0,8916.0,2537.0,8396.0
229438.04718702423,9030.0,7778.0,2976.0,9169.0
232034.60728503342,797.0,304.0,2564.0,4553.0
226148.06345375223,7863.0,4193.0,1270.0,3996.0
230428.05288415184,9350.0,395.0,695.0,5352.0
227637.13231717408,1651.0,8144.0,6307.0,2676.0
232613.9984670476,6920.0,6513.0,6233.0,354.0
233492.4170976175,2577.0,6021.0,8174.0,2743.0
225900.47619143632,4226.0,5916.0,1600.0,3877.0
225622.99805177873,1675.0,8238.0,5698.0,6140.0
231526.8336887789,9422.0,6707.0,2027.0,3928.0
224553.60966122345,2643.0,6202.0,1672.0,5758.0
227223.46159915786,7386.0,1075.0,6507.0,4236.0
231244.8513377535,8588.0,5982.0,5905.0,4177.0
232510.6651882642,2844.0,8697.0,6310.0,5479.0
232296.065992475,242.0,3932.0,1053.0,1733.0
223715.62616028762,5032.0,3233.0,1709.0,8961.0
232609.80586870844,2822.0,1846.0,3300.0,1656.0
229259.8277823068,501.0,6990.0,3981.0,8726.0
231833.51255529388,2669.0,3244.0,10262.0,9560.0
231512.9712726722,2096.0,2099.0,6557.0,3857.0
228694.6727023533,8308.0,5373.0,3399.0,9411.0
235949.3990329609,7764.0,9021.0,8338.0,3051.0
231678.85030344295,5466.0,3625.0,5565.0,3305.0
235281.14664668715,3927.0,10294.0,9226.0,8186.0
228979.5212909128,7487.0,7286.0,5456.0,9453.0
233952.54540142315,2726.0,5432.0,8600.0,2494.0
234271.9849791491,5212.0,4884.0,9976.0,3533.0
224820.8204209324,5980.0,6588.0,1561.0,6098.0
230406.38995077027,8729.0,3215.0,8445.0,7523.0
232656.47183538068,7601.0,1526.0,3951.0,1415.0
231687.06191723145,9040.0,6236.0,7638.0,4876.0
231547.802198011,1834.0,4435.0,309.0,3265.0
230931.01166413093,9576.0,1689.0,1395.0,4343.0
230565.78218195422,5701.0,207.0,5809.0,560.0
233976.86238981955,6729.0,9142.0,4292.0,3809.0
229671.76813003948,10238.0,2980.0,6915.0,6945.0
232180.7025250744,6452.0,5818.0,3536.0,2550.0
231568.5511539202,731.0,6114.0,10130.0,7560.0
229691.11896076656,7823.0,6500.0,2820.0,6390.0
230574.15655054533,255.0,5363.0,3923.0,5146.0
232163.48120272093,6350.0,9543.0,5940.0,6919.0
231316.2783065754,5765.0,8813.0,2060.0,9692.0
231901.6384208148,3034.0,7613.0,4025.0,4034.0
223860.82163740482,4508.0,6485.0,1656.0,9548.0
232446.24712829586,4197.0,3443.0,3969.0,693.0
230578.4176894203,3958.0,5437.0,7316.0,6214.0
231878.90386683497,5334.0,7243.0,6397.0,3454.0
229476.4396081502,5668.0,7906.0,6557.0,9401.0
232771.9998049712,8266.0,6610.0,3752.0,305.0
227555.5445982579,5545.0,6933.0,6192.0,1004.0
230173.2227257449,1521.0,1230.0,8266.0,8005.0
223275.3955423816,1570.0,3829.0,5768.0,9156.0
229349.28697019487,8373.0,9958.0,1458.0,3554.0
232986.14994418624,9374.0,10286.0,4643.0,8058.0
232034.00470779077,3667.0,238.0,7386.0,4035.0
233294.01758166074,9906.0,9892.0,7640.0,9593.0
235379.24742028836,5.0,9555.0,1169.0,635.0
233432.79923410734,9903.0,2655.0,7670.0,42.0
232835.05961973572,8733.0,520.0,6920.0,2339.0
230978.08583621602,9571.0,2476.0,9065.0,8844.0
230126.4215621743,904.0,8443.0,4986.0,7041.0
233949.4523539484,4633.0,3613.0,1119.0,500.0
232392.41947793684,9934.0,4380.0,2716.0,335.0
229737.25335965757,7676.0,7855.0,3761.0,7063.0
226047.18132242377,1843.0,3598.0,5239.0,4019.0
232590.707488146,8805.0,3402.0,3363.0,181.0
229290.026325445,6634.0,4012.0,3716.0,6499.0
227161.2118428167,8089.0,4806.0,2447.0,1343.0
235952.35517980668,9782.0,7542.0,9875.0,2066.0
227333.11275803097,7437.0,4705.0,4943.0,1339.0
229748.1609887817,7731.0,8078.0,5040.0,7254.0
230274.6217666437,1207.0,745.0,2686.0,10320.0
229308.02994955986,7246.0,5429.0,7091.0,7385.0
230871.40384747225,9195.0,584.0,4281.0,4882.0
230127.41406386057,9000.0,493.0,1588.0,8846.0
228553.96997128965,1968.0,4834.0,1230.0,8887.0
229026.92677452843,3599.0,6492.0,2624.0,7645.0
230856.31892867983,8002.0,8127.0,6808.0,6316.0
231307.62599685145,3661.0,3840.0,8054.0,5587.0
233962.6648255326,668.0,10261.0,9415.0,8822.0
233456.28588941882,5178.0,3196.0,7649.0,393.0
232636.51561632848,5870.0,9766.0,5543.0,6755.0
231302.678624208,8790.0,1848.0,906.0,5147.0
235482.34757063576,9615.0,10131.0,2811.0,809.0
234691.63466884606,9972.0,7833.0,9986.0,4132.0
233393.51592338792,8746.0,8677.0,4834.0,3848.0
230394.2644586529,8853.0,5655.0,8394.0,8032.0
230682.94023581423,810.0,798.0,6472.0,12.0
230088.0101327344,6745.0,738.0,7554.0,7173.0
226540.92199817768,7929.0,2889.0,1416.0,2937.0
232441.54351068454,6527.0,2922.0,6256.0,222.0
228698.49739458846,3841.0,44.0,3019.0,8842.0
234567.09466564257,4316.0,8746.0,2008.0,2643.0
232049.37432587912,4929.0,1748.0,4664.0,1473.0
232830.48521523186,260.0,9362.0,792.0,7549.0
229706.362436005,3334.0,8121.0,4540.0,8039.0
231526.17111486566,9201.0,5043.0,3988.0,3544.0
230856.76181300732,1391.0,2499.0,1143.0,4375.0
232964.78512435386,4970.0,8310.0,9799.0,7203.0
236247.20473368574,5938.0,10198.0,3526.0,2481.0
231395.1219554034,5556.0,3950.0,7552.0,4975.0
233045.4943429583,1584.0,166.0,5012.0,2491.0
223525.31093668038,4430.0,4691.0,1123.0,9923.0
224981.54442007325,8123.0,1756.0,7756.0,6950.0
229299.3599104889,8896.0,5338.0,4492.0,6537.0
227885.0987508122,6783.0,1186.0,9556.0,4881.0
230526.7919528963,7698.0,1238.0,50.0,7331.0
235477.15540872092,2736.0,5807.0,9748.0,261.0
231770.17410632447,29.0,4447.0,6468.0,756.0
234873.25324618167,1136.0,8262.0,6233.0,21.0
230056.38047131404,7909.0,8215.0,6692.0,9206.0
233966.21151629518,595.0,6781.0,7630.0,2069.0
233893.73314270235,9577.0,4452.0,491.0,1490.0
225074.52770384072,8576.0,1141.0,5516.0,6471.0
230172.9958699073,6941.0,8378.0,5675.0,7682.0
230495.96857193674,4248.0,5035.0,175.0,4956.0
230688.29322024094,5105.0,1734.0,1498.0,4611.0
234363.51962920508,3020.0,9034.0,5143.0,622.0
229261.09543372274,6807.0,2930.0,3392.0,7070.0
231556.84348418677,2186.0,3524.0,6419.0,3088.0
230309.70299016192,7507.0,4423.0,8639.0,8113.0
227265.70643666098,7211.0,1234.0,4151.0,2371.0
228631.6466433717,799.0,3181.0,5018.0,8369.0
228829.83087701016,4891.0,6552.0,6814.0,1217.0
228956.57535935464,701.0,7148.0,3184.0,7877.0
228774.48146717277,2154.0,2522.0,4078.0,8452.0
234410.77202294368,7743.0,2393.0,8685.0,15.0
234043.97492028153,3388.0,8686.0,5141.0,356.0
232508.03203694944,9673.0,4384.0,5801.0,2018.0
234586.5425018271,9030.0,9016.0,3805.0,464.0
232574.01778221663,7472.0,4263.0,7053.0,2637.0
229210.73943877537,3197.0,66.0,2237.0,6644.0
228811.23572799095,2828.0,5629.0,3602.0,9108.0
232355.07332264332,2291.0,2024.0,4535.0,2794.0
230513.76107113066,890.0,2636.0,7580.0,6350.0
231445.39994966242,5041.0,4024.0,7777.0,5418.0
231058.52838127888,3341.0,1457.0,1522.0,4849.0
232259.35667335856,8965.0,9642.0,3754.0,7105.0
227296.5141315241,4160.0,3553.0,1970.0,2191.0
230853.13160774272,3805.0,8609.0,3513.0,7435.0
230111.5753051098,465.0,6315.0,601.0,5120.0
231723.0328496221,553.0,5628.0,5284.0,293.0
232981.5222750789,3976.0,9573.0,7899.0,9626.0
230899.49414199704,5294.0,2278.0,5103.0,4533.0
233721.25323111695,1210.0,9727.0,1595.0,3154.0
228859.6915484496,3794.0,2280.0,4838.0,7474.0
225215.05922174358,7235.0,1622.0,4071.0,5338.0
236102.56307031747,9096.0,8628.0,1929.0,681.0
229048.15848929822,2318.0,5311.0,2036.0,7201.0
225178.3257849672,1243.0,3975.0,4660.0,5469.0
230262.78881189463,5379.0,881.0,8140.0,8866.0
233084.582815479,6016.0,5060.0,10286.0,5652.0
233269.21629407947,1838.0,10188.0,9887.0,2644.0
229138.03622173527,2762.0,533.0,5204.0,6895.0
229265.45056123703,8905.0,2877.0,5879.0,6600.0
233664.0596330811,2594.0,8716.0,9016.0,6417.0
232264.61333809196,7553.0,7680.0,10238.0,8397.0
230871.9070539126,6214.0,4291.0,3883.0,4751.0
233963.78695974508,5904.0,3136.0,8273.0,84.0
229233.45584969092,252.0,839.0,4323.0,7794.0
228859.1165447389,1379.0,7248.0,1567.0,10214.0
232020.24490613115,4695.0,8012.0,4687.0,3892.0
234870.8570454316,49.0,9835.0,6663.0,2985.0
233169.6716140414,1572.0,10077.0,1543.0,4865.0
228692.6129642334,5050.0,6387.0,5925.0,8897.0
233018.6584438928,278.0,5551.0,9952.0,5224.0
228654.78330217118,4959.0,4901.0,3184.0,8696.0
232203.59224267947,327.0,9173.0,8608.0,8773.0
228440.93859327244,8532.0,4719.0,792.0,8474.0
230618.60558737992,8673.0,4373.0,5612.0,4438.0
233870.51242015362,2354.0,9167.0,5576.0,3788.0
228682.03905633264,4496.0,5157.0,4258.0,8419.0
234071.71187485717,4453.0,9581.0,3873.0,4327.0
234453.16329052337,6925.0,7393.0,9748.0,3593.0
229059.00481599176,897.0,8218.0,3942.0,9439.0
230286.58355943058,828.0,8091.0,3617.0,5965.0
228935.32739356838,8066.0,4539.0,6911.0,8215.0
230293.28961988867,985.0,6258.0,9192.0,8947.0
234559.5087210559,4966.0,9503.0,2953.0,872.0
230108.18727385302,5923.0,6390.0,3990.0,5992.0
228995.22449995895,8225.0,3376.0,968.0,8500.0
229891.9908132742,7719.0,182.0,8051.0,9982.0
234121.3062878589,10288.0,9933.0,2232.0,5373.0
231726.4330164007,4313.0,7063.0,3863.0,3572.0
231750.83874991137,8635.0,5947.0,4690.0,3102.0
233149.05824103925,2264.0,9333.0,2665.0,5225.0
235254.60563541992,5929.0,4454.0,10155.0,627.0
230258.3794077708,4423.0,2600.0,6785.0,5630.0
230521.91177340355,4523.0,9236.0,514.0,7413.0
229301.66985822542,4153.0,3309.0,8928.0,1299.0
228922.07979879234,3880.0,5727.0,2257.0,9507.0
228877.3996474337,10182.0,6880.0,6365.0,9769.0
234800.76591437546,8530.0,5303.0,9888.0,2898.0
223491.04897109067,1083.0,4839.0,3536.0,8244.0
228750.76382358008,7344.0,1038.0,1461.0,8197.0
232106.2121171122,4406.0,7697.0,9976.0,9022.0
233883.0015405546,1750.0,4654.0,1518.0,1273.0
232136.69208575957,2844.0,7678.0,229.0,2909.0
230620.13514755285,4792.0,558.0,3371.0,4732.0
234081.0330973417,1835.0,1496.0,4069.0,1560.0
230417.0376783506,3542.0,6724.0,565.0,5281.0
232934.4566579165,4678.0,9929.0,3130.0,6579.0
231672.0231030172,6814.0,9519.0,4837.0,8979.0
230168.92023058815,2947.0,603.0,5420.0,5558.0
228848.66941355818,9182.0,3177.0,5430.0,9382.0
234838.53752346794,563.0,7291.0,1642.0,678.0
232106.2857223728,3571.0,3505.0,4052.0,2802.0
229276.40798374,372.0,780.0,4373.0,6751.0
230625.39442429543,7844.0,5558.0,5084.0,4994.0
228905.73654944004,2637.0,5453.0,3735.0,8440.0
224075.45100587312,6003.0,4303.0,1173.0,6605.0
230760.67994520706,6685.0,3945.0,9044.0,8380.0
232160.05487286966,6055.0,5711.0,6012.0,2778.0
228573.76479257652,3509.0,4171.0,424.0,6945.0
231025.0298181708,7728.0,4548.0,5079.0,4040.0
227963.64805719818,1277.0,9529.0,8534.0,10300.0
231166.83556010763,214.0,4547.0,3107.0,4124.0
233337.18902869467,6988.0,9617.0,3272.0,5613.0
232245.91102936878,6586.0,3381.0,4686.0,2401.0
227297.86135704207,1371.0,3781.0,4629.0,2204.0
230111.87959878318,2019.0,5627.0,2372.0,6015.0
232037.88910992086,6957.0,601.0,391.0,4683.0
232087.1548846022,2719.0,742.0,3022.0,2548.0
231287.031486346,7104.0,7265.0,9395.0,1350.0
232550.07785008315,6802.0,8785.0,8188.0,9009.0
228368.27050233193,3016.0,1549.0,2384.0,2336.0
231908.79561001997,7358.0,2364.0,130.0,2313.0
231459.19095727403,6379.0,3176.0,6575.0,4146.0
232545.31139059292,4479.0,20.0,7023.0,2706.0
224252.99559935814,1155.0,7228.0,6510.0,6895.0
234584.9233716882,6618.0,831.0,6814.0,1727.0
231439.6436407666,6034.0,5359.0,2141.0,3908.0
228976.5173904226,7683.0,1221.0,10150.0,5512.0
227300.05996336738,3535.0,2092.0,6068.0,1195.0
230644.0205143511,8607.0,99.0,8605.0,10138.0
223464.92455225982,4614.0,3002.0,1355.0,9301.0
232651.73900859462,9964.0,2515.0,7137.0,2904.0
228673.61609602548,5298.0,906.0,3977.0,10148.0
235269.89779196566,6213.0,8075.0,9632.0,3003.0
233573.76567841318,1010.0,9767.0,396.0,6148.0
229160.80697347756,2212.0,7348.0,5501.0,7813.0
236213.99498491499,9947.0,10159.0,7142.0,3474.0
230259.56208295576,3627.0,2340.0,831.0,5308.0
233087.51890423955,9909.0,7455.0,7473.0,3474.0
232449.80575934393,9655.0,2586.0,9396.0,5827.0
234121.2901192437,4531.0,3043.0,9968.0,3955.0
230320.9997323147,4755.0,4458.0,619.0,5538.0
225172.74811611147,1107.0,4907.0,5481.0,4764.0
232592.66765838317,9649.0,3268.0,3826.0,425.0
229818.5255885837,6307.0,8138.0,4497.0,9709.0
224616.8455109089,3050.0,6823.0,1187.0,8218.0
229974.50580006433,4168.0,8230.0,2902.0,8504.0
229462.90290262728,2607.0,670.0,2906.0,6858.0
230354.78836440624,6775.0,3135.0,5436.0,5549.0
231813.8627048443,388.0,7745.0,10155.0,7268.0
232364.5292515114,10166.0,3995.0,3086.0,434.0
234884.31973026323,9377.0,5644.0,9877.0,2522.0
231426.87578510205,3418.0,3379.0,9830.0,9414.0
228984.63465792037,1421.0,8117.0,8495.0,3534.0
232971.0234981753,8372.0,1635.0,649.0,2664.0
235881.38256522382,4776.0,8550.0,9966.0,4129.0
231075.8395686364,7484.0,7839.0,3417.0,5034.0
234622.54688520872,8894.0,2904.0,9074.0,333.0
228659.1145663618,3316.0,3585.0,6236.0,9715.0
227712.2121333468,5047.0,7033.0,2021.0,1676.0
223712.78364455586,1774.0,5338.0,2460.0,7325.0
228741.40402948335,9353.0,6016.0,113.0,9635.0
233547.14489079666,2609.0,10207.0,978.0,4925.0
225160.78774884748,7055.0,1229.0,8160.0,8094.0
230308.7118040064,6502.0,1247.0,126.0,7570.0
233237.77280282645,8273.0,7796.0,8790.0,4841.0
225288.90202635512,7925.0,1869.0,3444.0,5151.0
224723.1624350377,8390.0,1257.0,4669.0,8690.0
229955.5366376059,6799.0,6763.0,5166.0,6256.0
231100.64380749958,8516.0,3425.0,6374.0,3957.0
228713.57318932694,4506.0,5701.0,6445.0,8565.0
233804.0417088834,1451.0,771.0,6937.0,3345.0
228801.2789950147,2293.0,5566.0,6582.0,9623.0
226256.43102956322,9984.0,1931.0,4756.0,3740.0
230938.55210608002,6530.0,2587.0,7510.0,5721.0
229580.93541587327,1626.0,9796.0,3417.0,2689.0
235199.62942146635,5426.0,5002.0,9908.0,265.0
231339.39076640442,9526.0,4339.0,2868.0,3666.0
231774.3934650596,1488.0,5755.0,77.0,5293.0
229576.6887031242,4496.0,6432.0,3846.0,6952.0
228973.37104309627,8412.0,6810.0,3745.0,7646.0
231544.3996159387,6746.0,4698.0,9488.0,6881.0
233513.90989610497,6512.0,7633.0,7098.0,2239.0
228761.96435959116,4117.0,5921.0,4278.0,10257.0
233668.3720224514,2056.0,1072.0,7757.0,1175.0
228852.5124841426,7950.0,6908.0,4598.0,10024.0
225631.47516602735,7083.0,7161.0,1382.0,4981.0
232780.67466390322,7284.0,10105.0,3801.0,9542.0
229718.77443839805,2319.0,8159.0,3191.0,8604.0
